EmployeeNumber,Age,Department,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion
46,43,Research & Development,2,Medical,Female,Research Scientist,3,2645,3,6,5,1
47,50,Sales,2,Marketing,Male,Sales Representative,3,2683,3,3,3,0
49,35,Sales,3,Marketing,Female,Sales Representative,4,2014,3,2,2,2
51,36,Research & Development,4,Life Sciences,Female,Research Scientist,1,3419,3,6,1,0
52,33,Sales,3,Life Sciences,Female,Sales Executive,1,5376,3,10,5,1
53,35,Research & Development,2,Other,Male,Laboratory Technician,4,1951,3,1,1,0
54,27,Research & Development,4,Life Sciences,Female,Laboratory Technician,1,2341,3,1,1,0
55,26,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,2293,3,1,1,0
56,27,Sales,3,Life Sciences,Male,Sales Executive,3,8726,3,9,9,1
57,30,Research & Development,2,Medical,Female,Laboratory Technician,4,4011,4,12,12,3
58,41,Research & Development,3,Technical Degree,Female,Research Director,3,19545,3,23,22,15
60,34,Sales,4,Marketing,Male,Sales Executive,3,4568,4,10,9,8
61,37,Research & Development,2,Life Sciences,Male,Research Scientist,2,3022,4,8,1,0
62,46,Sales,4,Marketing,Male,Sales Executive,4,5772,4,14,9,0
63,35,Research & Development,1,Life Sciences,Male,Laboratory Technician,4,2269,3,1,1,0
64,48,Research & Development,2,Life Sciences,Male,Laboratory Technician,3,5381,3,23,1,0
65,28,Research & Development,4,Technical Degree,Male,Laboratory Technician,3,3441,3,2,2,2
68,44,Sales,5,Marketing,Female,Sales Executive,1,5454,4,9,4,1
70,35,Research & Development,2,Medical,Male,Healthcare Representative,1,9884,3,10,4,2
72,26,Sales,3,Marketing,Female,Sales Executive,4,4157,3,5,2,0
73,33,Research & Development,2,Life Sciences,Female,Research Director,4,13458,3,15,15,8
74,35,Sales,5,Life Sciences,Male,Sales Executive,1,9069,4,9,9,1
75,35,Research & Development,4,Medical,Female,Laboratory Technician,1,4014,3,4,2,2
76,31,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,5915,4,10,7,1
77,37,Research & Development,4,Life Sciences,Male,Manufacturing Director,3,5993,3,7,7,0
78,32,Research & Development,3,Medical,Male,Manufacturing Director,4,6162,4,9,9,7
79,38,Research & Development,5,Life Sciences,Female,Laboratory Technician,4,2406,3,10,10,9
80,50,Research & Development,2,Medical,Female,Research Director,3,18740,3,29,27,13
81,59,Sales,3,Life Sciences,Female,Sales Executive,1,7637,3,28,21,7
83,36,Research & Development,3,Technical Degree,Female,Healthcare Representative,3,10096,3,17,17,12
84,55,Research & Development,3,Medical,Female,Manager,3,14756,3,21,5,0
85,36,Research & Development,3,Life Sciences,Male,Manufacturing Director,2,6499,3,6,6,0
86,45,Research & Development,3,Life Sciences,Male,Research Scientist,1,9724,3,25,1,0
88,35,Research & Development,3,Medical,Male,Research Scientist,1,2194,3,5,3,1
90,36,Research & Development,3,Medical,Male,Research Scientist,3,3388,3,2,1,0
91,59,Sales,1,Life Sciences,Female,Sales Executive,3,5473,3,20,4,1
94,29,Research & Development,3,Life Sciences,Male,Research Scientist,2,2703,4,6,5,0
95,31,Research & Development,4,Medical,Male,Research Scientist,2,2501,3,1,1,1
96,32,Research & Development,3,Life Sciences,Male,Research Scientist,2,6220,3,10,10,0
97,36,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,3038,3,5,1,0
98,31,Research & Development,4,Life Sciences,Female,Manufacturing Director,4,4424,4,11,11,1
100,35,Sales,4,Marketing,Male,Sales Executive,1,4312,3,16,15,2
101,45,Research & Development,4,Other,Male,Research Director,1,13245,3,17,0,0
102,37,Research & Development,4,Medical,Male,Research Director,3,13664,3,16,5,0
103,46,Human Resources,2,Medical,Male,Human Resources,2,5021,4,16,4,0
104,30,Research & Development,1,Life Sciences,Male,Laboratory Technician,4,5126,3,10,10,3
105,35,Research & Development,3,Medical,Male,Research Scientist,3,2859,3,6,6,0
106,55,Sales,2,Life Sciences,Male,Sales Executive,4,10239,3,24,1,1
107,38,Research & Development,3,Medical,Female,Research Scientist,4,5329,3,17,13,1
110,34,Research & Development,2,Medical,Male,Manufacturing Director,2,4325,3,5,5,1
112,56,Research & Development,3,Life Sciences,Male,Manufacturing Director,4,7260,3,37,6,0
113,23,Sales,1,Technical Degree,Male,Sales Representative,1,2322,3,3,0,0
116,51,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,2075,4,10,4,0
117,30,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,4152,3,11,11,10
118,46,Sales,2,Medical,Male,Sales Executive,4,9619,3,9,9,4
119,40,Research & Development,4,Life Sciences,Male,Healthcare Representative,2,13503,4,22,22,11
120,51,Sales,4,Marketing,Male,Sales Executive,4,5441,4,11,10,1
121,30,Sales,2,Medical,Female,Sales Executive,2,5209,3,11,11,2
124,46,Research & Development,3,Medical,Male,Healthcare Representative,1,10673,3,21,10,9
125,32,Sales,4,Medical,Male,Sales Executive,3,5010,3,12,11,5
126,54,Research & Development,4,Technical Degree,Female,Research Director,3,13549,3,16,4,0
128,24,Sales,2,Other,Female,Sales Executive,3,4999,4,4,3,0
129,28,Sales,3,Medical,Male,Sales Executive,3,4221,3,5,5,0
131,58,Sales,4,Medical,Male,Sales Executive,3,13872,3,38,37,1
132,44,Research & Development,3,Medical,Male,Laboratory Technician,2,2042,3,17,3,1
133,37,Human Resources,4,Human Resources,Male,Human Resources,1,2073,4,7,3,0
134,32,Research & Development,1,Life Sciences,Male,Research Scientist,1,2956,3,1,1,0
137,20,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,2926,3,1,1,1
138,34,Research & Development,4,Other,Female,Research Scientist,3,4809,3,16,16,2
139,37,Research & Development,2,Life Sciences,Male,Healthcare Representative,4,5163,3,17,1,0
140,59,Human Resources,4,Human Resources,Female,Manager,4,18844,4,30,3,2
141,50,Research & Development,3,Life Sciences,Female,Research Director,2,18172,3,28,8,0
142,25,Sales,3,Marketing,Male,Sales Executive,3,5744,3,6,6,0
143,25,Research & Development,1,Medical,Male,Research Scientist,4,2889,3,2,2,2
144,22,Research & Development,3,Medical,Female,Laboratory Technician,4,2871,3,1,0,0
145,51,Research & Development,4,Medical,Female,Healthcare Representative,1,7484,4,23,13,12
147,34,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,6074,4,9,9,0
148,54,Human Resources,3,Human Resources,Female,Manager,4,17328,3,23,5,4
150,24,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,2774,3,6,5,1
151,34,Research & Development,4,Life Sciences,Female,Research Scientist,2,4505,3,12,1,0
152,37,Sales,3,Life Sciences,Male,Sales Executive,4,7428,3,12,5,1
153,34,Research & Development,3,Medical,Female,Manager,1,11631,3,14,11,5
154,36,Sales,2,Technical Degree,Female,Sales Executive,4,9738,3,10,9,2
155,36,Research & Development,2,Life Sciences,Female,Laboratory Technician,4,2835,4,7,1,0
158,43,Sales,2,Life Sciences,Male,Manager,4,16959,3,25,25,4
159,30,Research & Development,3,Life Sciences,Male,Research Scientist,3,2613,4,10,10,0
160,33,Sales,2,Marketing,Male,Sales Executive,2,6146,3,8,7,0
161,56,Research & Development,4,Life Sciences,Female,Research Scientist,2,4963,3,7,5,4
162,51,Research & Development,3,Life Sciences,Male,Research Director,3,19537,3,23,20,15
163,31,Sales,4,Life Sciences,Male,Sales Executive,3,6172,3,12,7,7
164,26,Research & Development,3,Other,Female,Research Scientist,2,2368,3,5,5,4
165,58,Research & Development,4,Medical,Female,Healthcare Representative,4,10312,3,40,40,15
167,19,Sales,1,Marketing,Male,Sales Representative,3,1675,3,0,0,0
169,22,Research & Development,1,Technical Degree,Male,Laboratory Technician,4,2523,3,3,2,2
170,49,Research & Development,4,Medical,Female,Manufacturing Director,1,6567,3,16,15,5
171,43,Research & Development,3,Medical,Female,Research Scientist,3,4739,3,18,3,1
174,50,Sales,3,Marketing,Female,Sales Executive,4,9208,3,16,2,2
175,31,Sales,3,Life Sciences,Female,Sales Executive,3,4559,3,4,2,2
176,41,Sales,1,Life Sciences,Male,Sales Executive,3,8189,3,12,9,0
177,26,Human Resources,1,Life Sciences,Female,Human Resources,3,2942,4,8,8,5
178,36,Research & Development,2,Medical,Male,Manufacturing Director,2,4941,4,7,3,0
179,51,Research & Development,4,Life Sciences,Male,Manufacturing Director,4,10650,3,18,4,0
182,39,Sales,4,Life Sciences,Female,Sales Executive,3,5902,3,17,15,5
183,25,Sales,3,Life Sciences,Male,Sales Executive,3,8639,3,6,2,2
184,30,Human Resources,3,Human Resources,Male,Human Resources,4,6347,3,12,11,4
190,32,Research & Development,3,Medical,Female,Laboratory Technician,1,4200,4,10,5,0
192,45,Research & Development,3,Medical,Male,Research Scientist,4,3452,3,9,6,0
193,38,Research & Development,5,Technical Degree,Female,Research Scientist,3,4317,4,19,3,2
194,30,Research & Development,3,Life Sciences,Female,Research Scientist,3,2632,3,5,5,0
195,32,Sales,2,Medical,Male,Sales Executive,4,4668,3,9,8,0
197,30,Research & Development,3,Technical Degree,Female,Research Scientist,1,3204,3,8,3,2
198,30,Research & Development,1,Medical,Male,Laboratory Technician,4,2720,3,6,5,1
199,41,Research & Development,3,Life Sciences,Male,Manager,1,17181,3,21,7,7
200,41,Research & Development,4,Life Sciences,Male,Laboratory Technician,1,2238,4,7,5,1
201,19,Research & Development,1,Medical,Female,Laboratory Technician,2,1483,3,1,1,0
202,40,Research & Development,3,Medical,Female,Research Scientist,2,5605,3,20,20,2
204,35,Sales,5,Marketing,Male,Sales Executive,2,7295,3,10,10,0
205,53,Sales,2,Marketing,Male,Sales Representative,3,2306,4,13,7,4
206,45,Research & Development,3,Life Sciences,Male,Laboratory Technician,2,2348,3,20,17,0
207,32,Sales,3,Marketing,Female,Sales Executive,4,8998,3,9,9,3
208,29,Research & Development,1,Technical Degree,Male,Manufacturing Director,3,4319,3,10,10,0
211,51,Research & Development,4,Medical,Male,Manufacturing Director,3,6132,3,10,1,0
214,58,Research & Development,3,Medical,Female,Research Scientist,2,3346,4,9,1,0
215,40,Sales,4,Marketing,Male,Sales Executive,4,10855,3,15,12,2
216,34,Sales,4,Marketing,Female,Sales Representative,3,2231,3,6,4,1
217,22,Research & Development,1,Medical,Male,Research Scientist,4,2323,4,2,2,2
218,27,Research & Development,3,Medical,Male,Research Scientist,2,2024,3,6,2,2
221,28,Research & Development,3,Medical,Male,Research Scientist,4,2713,3,5,5,0
223,57,Research & Development,2,Life Sciences,Male,Healthcare Representative,4,9439,3,12,5,1
224,27,Research & Development,3,Medical,Male,Research Scientist,3,2566,3,1,1,0
226,50,Research & Development,3,Life Sciences,Female,Manager,2,19926,3,21,5,4
227,41,Research & Development,3,Life Sciences,Male,Research Scientist,3,2451,3,13,9,1
228,30,Sales,3,Life Sciences,Female,Sales Executive,4,9419,3,12,10,7
230,38,Sales,4,Life Sciences,Female,Sales Executive,4,8686,4,12,8,0
231,32,Research & Development,5,Life Sciences,Male,Research Scientist,3,3038,4,8,5,1
233,27,Research & Development,3,Technical Degree,Male,Research Scientist,2,3058,3,6,5,1
235,19,Sales,1,Technical Degree,Female,Sales Representative,1,2325,4,1,0,0
238,36,Research & Development,2,Medical,Male,Laboratory Technician,2,2088,3,13,8,7
239,30,Research & Development,3,Medical,Male,Laboratory Technician,1,3072,3,12,12,6
240,45,Sales,2,Life Sciences,Female,Sales Executive,1,5006,3,9,5,0
241,56,Research & Development,3,Life Sciences,Female,Research Scientist,1,4257,3,19,2,2
242,33,Research & Development,3,Life Sciences,Male,Research Scientist,4,2500,3,4,3,0
243,19,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,1102,4,1,1,1
244,46,Sales,2,Marketing,Female,Sales Executive,1,10453,4,24,24,15
245,38,Research & Development,2,Life Sciences,Female,Laboratory Technician,4,2288,3,2,2,2
246,31,Research & Development,1,Medical,Female,Research Scientist,4,3929,4,7,4,0
247,34,Research & Development,2,Medical,Female,Research Scientist,2,2311,3,9,3,1
248,41,Sales,2,Marketing,Female,Sales Representative,2,3140,4,4,4,0
249,50,Research & Development,3,Medical,Male,Laboratory Technician,3,3690,3,5,3,0
250,53,Research & Development,2,Medical,Female,Manufacturing Director,1,4450,3,5,4,1
252,33,Research & Development,3,Medical,Female,Research Scientist,2,2756,3,8,8,1
253,40,Research & Development,1,Medical,Female,Manager,3,19033,3,21,20,9
254,55,Research & Development,4,Medical,Male,Research Director,2,18722,3,36,24,2
256,34,Research & Development,1,Life Sciences,Male,Manufacturing Director,3,9547,3,10,10,1
258,51,Research & Development,3,Medical,Female,Healthcare Representative,2,13734,3,21,7,1
259,52,Research & Development,4,Life Sciences,Male,Manager,3,19999,3,34,33,11
260,27,Research & Development,3,Medical,Female,Research Scientist,2,2279,3,7,7,0
261,35,Research & Development,2,Life Sciences,Male,Manufacturing Director,3,5916,3,8,1,0
262,43,Research & Development,3,Medical,Male,Research Scientist,4,2089,3,7,5,2
264,45,Research & Development,2,Medical,Male,Manager,4,16792,4,22,20,11
267,37,Research & Development,3,Life Sciences,Male,Research Scientist,1,3564,3,8,8,1
269,35,Research & Development,3,Medical,Female,Laboratory Technician,2,4425,3,10,6,1
270,42,Research & Development,2,Medical,Female,Manufacturing Director,3,5265,3,11,5,0
271,38,Research & Development,4,Life Sciences,Male,Manufacturing Director,3,6553,3,14,1,0
273,38,Research & Development,3,Technical Degree,Male,Manufacturing Director,4,6261,3,9,7,1
274,27,Research & Development,1,Technical Degree,Male,Manufacturing Director,1,4298,3,6,2,2
275,49,Research & Development,4,Life Sciences,Male,Manufacturing Director,4,6804,3,7,7,1
277,34,Research & Development,4,Medical,Male,Research Scientist,3,3815,3,5,5,2
281,40,Research & Development,2,Medical,Male,Laboratory Technician,4,2741,3,15,7,3
282,38,Research & Development,1,Medical,Male,Healthcare Representative,1,6673,3,17,1,0
283,29,Sales,3,Marketing,Female,Sales Executive,4,7639,4,10,10,1
284,22,Research & Development,3,Life Sciences,Male,Research Scientist,2,2328,3,4,4,2
286,36,Research & Development,1,Medical,Female,Laboratory Technician,4,2153,3,8,8,1
287,40,Research & Development,5,Life Sciences,Male,Healthcare Representative,4,4876,3,5,3,0
288,46,Research & Development,4,Medical,Male,Healthcare Representative,1,9396,3,17,4,0
291,32,Sales,4,Medical,Male,Sales Executive,4,10400,3,14,14,9
292,30,Research & Development,1,Life Sciences,Male,Manufacturing Director,3,8474,4,12,11,5
293,27,Sales,3,Life Sciences,Female,Sales Executive,3,9981,3,7,7,0
296,51,Research & Development,4,Life Sciences,Male,Research Director,2,12490,3,16,10,4
297,30,Research & Development,3,Technical Degree,Female,Research Scientist,1,2657,3,8,5,0
298,41,Sales,3,Life Sciences,Female,Manager,4,13591,3,16,1,0
299,30,Sales,4,Marketing,Female,Sales Executive,1,6696,3,9,6,0
300,29,Research & Development,3,Technical Degree,Male,Research Scientist,3,2058,3,7,6,1
302,45,Sales,3,Medical,Female,Sales Executive,4,8865,3,23,19,12
303,54,Sales,3,Marketing,Female,Sales Executive,1,5940,3,16,6,0
304,36,Research & Development,2,Life Sciences,Male,Laboratory Technician,2,5914,3,16,13,3
305,33,Research & Development,4,Medical,Female,Research Scientist,2,2622,4,7,3,1
306,37,Research & Development,3,Other,Male,Research Director,4,12185,3,10,10,0
307,38,Sales,3,Life Sciences,Male,Sales Executive,3,10609,3,17,16,5
308,31,Research & Development,4,Medical,Male,Manufacturing Director,3,4345,3,6,5,1
309,59,Research & Development,3,Life Sciences,Male,Research Scientist,4,2177,3,7,1,0
311,37,Sales,4,Marketing,Male,Sales Representative,4,2793,3,13,9,5
312,29,Sales,1,Medical,Female,Sales Executive,4,7918,3,11,11,4
314,35,Sales,3,Marketing,Female,Sales Executive,3,8789,3,10,10,0
315,29,Research & Development,1,Medical,Male,Research Scientist,4,2389,3,4,4,0
316,52,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,3212,3,6,2,2
319,42,Research & Development,2,Technical Degree,Male,Manager,4,19232,3,22,22,11
321,59,Human Resources,2,Medical,Male,Human Resources,3,2267,3,7,2,2
323,50,Sales,4,Medical,Female,Manager,4,19517,3,32,7,0
325,33,Research & Development,3,Medical,Male,Laboratory Technician,4,2436,3,8,5,0
327,43,Sales,3,Marketing,Female,Manager,4,16064,4,22,17,1
328,33,Research & Development,2,Life Sciences,Female,Laboratory Technician,1,2707,4,13,9,1
329,52,Sales,4,Life Sciences,Male,Manager,3,19068,3,33,33,15
330,32,Sales,2,Life Sciences,Female,Sales Representative,2,3931,3,6,4,1
331,32,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,3730,3,4,3,1
332,39,Research & Development,4,Medical,Female,Laboratory Technician,3,2232,3,7,3,1
333,32,Sales,4,Marketing,Male,Sales Executive,4,4465,3,4,3,2
334,41,Research & Development,2,Life Sciences,Male,Research Scientist,1,3072,3,17,1,0
335,40,Research & Development,2,Technical Degree,Male,Research Scientist,4,3319,3,9,9,4
336,45,Research & Development,3,Other,Male,Manager,4,19202,3,25,24,1
337,31,Research & Development,4,Medical,Male,Research Director,3,13675,3,9,2,2
338,33,Research & Development,4,Life Sciences,Female,Research Scientist,4,2911,3,2,2,0
339,34,Research & Development,4,Life Sciences,Male,Manufacturing Director,1,5957,3,13,11,5
340,37,Research & Development,2,Medical,Female,Research Scientist,1,3920,3,17,3,0
341,45,Research & Development,4,Life Sciences,Male,Manufacturing Director,3,6434,3,9,3,0
342,37,Research & Development,3,Medical,Male,Manufacturing Director,3,10048,3,17,1,0
343,39,Research & Development,4,Technical Degree,Female,Healthcare Representative,3,10938,4,20,19,11
346,29,Research & Development,3,Life Sciences,Male,Research Scientist,4,2340,3,6,6,1
347,42,Research & Development,2,Life Sciences,Female,Research Scientist,1,6545,3,10,3,0
349,29,Sales,2,Marketing,Male,Sales Executive,4,6931,3,10,3,0
350,25,Research & Development,3,Life Sciences,Female,Manufacturing Director,3,4898,3,5,4,1
351,42,Research & Development,3,Medical,Female,Laboratory Technician,1,2593,3,10,9,7
352,40,Research & Development,2,Medical,Male,Research Director,3,19436,3,22,21,3
353,51,Research & Development,3,Life Sciences,Male,Research Scientist,4,2723,3,1,1,0
355,31,Research & Development,2,Medical,Male,Laboratory Technician,2,3479,3,6,5,1
359,32,Research & Development,3,Life Sciences,Male,Laboratory Technician,2,2794,4,5,5,0
361,38,Sales,2,Life Sciences,Male,Sales Executive,4,5249,3,13,8,7
362,32,Research & Development,1,Technical Degree,Male,Laboratory Technician,1,2176,3,9,6,0
363,46,Sales,3,Technical Degree,Female,Manager,2,16872,3,28,7,7
364,28,Research & Development,4,Life Sciences,Male,Laboratory Technician,3,3485,3,5,0,0
366,29,Sales,3,Medical,Male,Sales Executive,2,6644,3,10,0,0
367,31,Research & Development,3,Medical,Male,Healthcare Representative,4,5582,4,10,9,7
369,25,Research & Development,2,Life Sciences,Male,Healthcare Representative,1,4000,3,6,6,1
372,45,Research & Development,2,Medical,Male,Healthcare Representative,4,13496,3,21,20,4
373,36,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,3210,3,16,15,10
374,55,Research & Development,3,Medical,Male,Manager,1,19045,3,37,36,4
376,47,Research & Development,4,Life Sciences,Male,Manager,2,11849,3,10,10,9
377,28,Research & Development,3,Medical,Male,Research Scientist,4,2070,4,5,5,0
378,37,Sales,4,Medical,Male,Sales Executive,4,6502,3,7,5,0
379,21,Research & Development,2,Medical,Male,Research Scientist,3,3230,3,3,3,1
380,37,Research & Development,4,Medical,Female,Research Director,4,13603,3,15,5,0
381,35,Research & Development,3,Life Sciences,Female,Manager,2,11996,3,10,7,6
382,38,Sales,2,Medical,Female,Sales Executive,1,5605,4,8,8,7
384,26,Research & Development,3,Life Sciences,Female,Manufacturing Director,2,6397,4,6,6,1
385,50,Research & Development,1,Life Sciences,Male,Research Director,2,19144,3,28,10,1
386,53,Research & Development,4,Medical,Male,Research Director,3,17584,3,21,5,1
387,42,Sales,1,Life Sciences,Male,Sales Executive,3,4907,4,20,20,11
388,29,Sales,2,Life Sciences,Male,Sales Executive,4,4554,3,10,10,0
389,55,Research & Development,2,Technical Degree,Male,Laboratory Technician,4,5415,3,12,10,0
390,26,Research & Development,2,Medical,Male,Healthcare Representative,1,4741,3,5,5,3
391,37,Research & Development,3,Life Sciences,Female,Research Scientist,4,2115,3,17,17,5
392,44,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,3161,4,19,1,0
393,38,Research & Development,4,Life Sciences,Male,Healthcare Representative,4,5745,3,10,2,1
394,26,Research & Development,4,Medical,Male,Laboratory Technician,2,2373,3,5,3,0
395,28,Research & Development,2,Life Sciences,Female,Research Scientist,4,3310,4,5,5,0
396,49,Research & Development,4,Life Sciences,Female,Research Director,1,18665,3,22,3,1
397,36,Research & Development,3,Technical Degree,Male,Research Scientist,2,4485,3,10,8,7
399,31,Sales,3,Marketing,Female,Sales Representative,2,2789,3,2,2,2
401,26,Sales,4,Marketing,Male,Sales Executive,4,5828,3,8,8,7
403,37,Research & Development,3,Medical,Male,Research Scientist,4,2326,3,4,4,1
404,42,Sales,3,Marketing,Female,Sales Executive,2,13525,3,23,20,4
405,18,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,1420,3,0,0,0
406,35,Sales,3,Marketing,Male,Sales Executive,2,8020,3,12,11,6
407,36,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,3688,3,4,1,0
408,51,Research & Development,3,Medical,Male,Manufacturing Director,2,5482,3,13,4,1
410,41,Sales,4,Life Sciences,Male,Manager,2,16015,3,22,22,0
411,18,Sales,3,Medical,Female,Sales Representative,3,1200,3,0,0,0
412,28,Research & Development,2,Medical,Male,Healthcare Representative,1,5661,3,9,8,0
416,31,Sales,3,Technical Degree,Male,Sales Executive,4,6929,3,10,8,7
417,39,Research & Development,3,Medical,Male,Healthcare Representative,4,9613,3,19,18,3
419,36,Research & Development,4,Life Sciences,Female,Laboratory Technician,2,5674,3,11,9,0
420,32,Sales,3,Life Sciences,Male,Sales Executive,3,5484,3,13,13,4
421,38,Research & Development,2,Life Sciences,Female,Research Director,2,12061,3,19,10,0
422,58,Research & Development,4,Life Sciences,Male,Healthcare Representative,3,5660,3,12,5,1
423,31,Research & Development,4,Technical Degree,Male,Research Scientist,4,4821,3,6,5,0
424,31,Human Resources,3,Human Resources,Male,Human Resources,1,6410,3,9,2,1
425,45,Research & Development,3,Life Sciences,Male,Laboratory Technician,1,5210,3,24,24,9
426,31,Research & Development,4,Life Sciences,Male,Research Scientist,4,2695,3,3,2,2
428,33,Research & Development,4,Life Sciences,Female,Manager,2,11878,3,12,10,8
429,39,Research & Development,1,Medical,Male,Manager,1,17068,3,21,21,11
430,43,Research & Development,4,Life Sciences,Female,Laboratory Technician,4,2455,3,9,8,1
431,49,Research & Development,2,Technical Degree,Female,Healthcare Representative,3,13964,3,25,7,0
433,52,Research & Development,4,Medical,Male,Research Scientist,2,4941,3,11,8,7
434,27,Research & Development,3,Life Sciences,Female,Research Scientist,2,2478,3,4,4,1
436,32,Sales,2,Technical Degree,Female,Sales Executive,2,5228,3,13,13,11
437,27,Sales,3,Life Sciences,Male,Sales Executive,3,4478,3,5,5,0
438,31,Sales,3,Marketing,Male,Sales Executive,4,7547,3,13,7,1
439,32,Research & Development,4,Medical,Female,Research Scientist,4,5055,3,10,7,0
440,28,Research & Development,4,Medical,Male,Research Scientist,4,3464,3,5,3,2
441,30,Research & Development,2,Medical,Female,Research Scientist,4,5775,3,11,10,1
442,31,Research & Development,2,Life Sciences,Female,Manufacturing Director,3,8943,4,10,10,8
444,39,Research & Development,2,Medical,Male,Manager,4,19272,3,21,21,13
445,39,Sales,2,Medical,Female,Sales Executive,3,5238,3,12,1,0
446,33,Sales,3,Marketing,Male,Sales Executive,4,4682,3,9,7,0
447,47,Research & Development,5,Life Sciences,Male,Research Director,3,18300,3,21,3,1
448,43,Research & Development,4,Life Sciences,Female,Laboratory Technician,3,5257,3,9,9,0
449,27,Sales,1,Marketing,Male,Sales Executive,2,6349,3,6,5,1
450,54,Research & Development,4,Life Sciences,Female,Research Scientist,3,4869,3,20,4,0
451,43,Research & Development,3,Life Sciences,Female,Healthcare Representative,1,9985,3,10,1,0
452,45,Research & Development,4,Other,Male,Research Scientist,4,3697,3,12,10,9
453,40,Sales,2,Medical,Male,Sales Executive,4,7457,4,6,4,0
454,29,Research & Development,4,Other,Male,Laboratory Technician,1,2119,3,7,7,0
455,29,Research & Development,5,Other,Male,Laboratory Technician,4,3983,3,4,3,2
456,30,Sales,3,Marketing,Female,Sales Executive,3,6118,3,10,10,1
458,27,Sales,4,Marketing,Female,Sales Executive,2,6214,3,8,8,0
460,37,Research & Development,2,Medical,Male,Manufacturing Director,4,6347,3,8,6,0
